Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,171.509995,172.539993,169.410004,169.800003,168.562851,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,165.018845,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,163.311386,91420500
2022-01-21,164.419998,166.330002,162.300003,162.410004,161.226685,122848900
2022-01-24,160.020004,162.300003,154.699997,161.619995,160.442444,162294600
2022-01-25,158.979996,162.759995,157.020004,159.779999,158.615829,115798400
2022-01-26,163.500000,164.389999,157.820007,159.690002,158.526505,108275300
2022-01-27,162.449997,163.839996,158.279999,159.220001,158.059921,121954600
2022-01-28,165.710007,170.350006,162.800003,170.330002,169.088989,179935700
2022-01-31,170.160004,175.000000,169.509995,174.779999,173.506546,115541600
2022-02-01,174.009995,174.839996,172.309998,174.610001,173.337799,86213900
2022-02-02,174.750000,175.880005,173.330002,175.839996,174.558838,84914300
2022-02-03,174.479996,176.240005,172.119995,172.899994,171.640228,89418100
2022-02-04,171.679993,174.100006,170.679993,172.389999,171.352005,82465400
2022-02-07,172.860001,173.949997,170.949997,171.660004,170.626404,77251200
2022-02-08,171.729996,175.350006,171.429993,174.830002,173.777298,74829200
2022-02-09,176.050003,176.649994,174.899994,176.279999,175.218567,71285000
2022-02-10,174.139999,175.479996,171.550003,172.119995,171.083618,90865900
2022-02-11,172.330002,173.080002,168.039993,168.639999,167.624588,98670700
2022-02-14,167.369995,169.580002,166.559998,168.880005,167.863144,86185500
